150 PA5-B-Debug-Output.txt 6
 -121.6003  139.0865   38.6104  168.3821  -95.1081  -60.5044
  -25.23   -10.46   -53.84       -25.23   -10.46   -53.84     0.000
    0.81    19.68     2.48         0.81    19.68     2.48     0.000
    5.58    -8.24    22.49         5.58    -8.24    22.49     0.000
  -35.24     2.50   -42.41       -35.24     2.50   -42.41     0.000
   -2.63    -8.88   -42.52        -2.63    -8.88   -42.52     0.000
   30.86     0.12    40.70        30.86     0.12    40.70     0.000
  -30.31    -8.26   -51.89       -30.31    -8.26   -51.89     0.000
   26.62     7.25   -20.52        26.62     7.25   -20.52     0.000
    4.01    15.09    57.34         4.01    15.09    57.34     0.000
   27.21     1.30   -21.46        27.21     1.30   -21.46     0.000
   -5.66   -25.38   -19.84        -5.66   -25.38   -19.84     0.000
   28.47    11.61    54.91        28.47    11.61    54.91     0.000
   34.08    -5.37     9.05        34.08    -5.37     9.05     0.000
  -17.54    11.69   -37.00       -17.54    11.69   -37.00     0.000
   -4.29    -8.39    27.18        -4.29    -8.39    27.18     0.000
  -14.85    -5.66     4.43       -14.85    -5.66     4.43     0.000
    9.34    25.98    20.11         9.34    25.98    20.11     0.000
   27.92    13.65    53.57        27.92    13.65    53.57     0.000
   -6.61     6.85   -10.15        -6.61     6.85   -10.15     0.000
   -3.22    15.16    52.55        -3.22    15.16    52.55     0.000
   14.25    19.01   -15.73        14.25    19.01   -15.73     0.000
    3.77     1.54    -9.47         3.77     1.54    -9.47     0.000
   27.09    -3.48    52.89        27.09    -3.48    52.89     0.000
    0.67   -16.02   -36.79         0.67   -16.02   -36.79     0.000
    6.65    -4.56   -18.88         6.65    -4.56   -18.88     0.000
  -17.68    11.55   -25.92       -17.68    11.55   -25.92     0.000
   -4.01   -12.98     0.54        -4.01   -12.98     0.54     0.000
   -9.41   -23.69   -14.70        -9.41   -23.69   -14.70     0.000
  -23.40   -22.36   -49.79       -23.40   -22.36   -49.79     0.000
   27.09    -4.68    49.11        27.09    -4.68    49.11     0.000
  -25.20   -30.65   -24.11       -25.20   -30.65   -24.11     0.000
   -7.33   -17.22   -46.22        -7.33   -17.22   -46.22     0.000
   -6.12   -23.49   -13.21        -6.12   -23.49   -13.21     0.000
   20.51     2.06   -23.00        20.51     2.06   -23.00     0.000
   32.50    -6.02     1.59        32.50    -6.02     1.59     0.000
  -26.30   -23.51   -16.71       -26.30   -23.51   -16.71     0.000
   23.91     9.27    57.12        23.91     9.27    57.12     0.000
   35.93     6.52    -8.32        35.93     6.52    -8.32     0.000
   15.80    24.57    37.96        15.80    24.57    37.96     0.000
  -34.78   -13.23   -47.75       -34.78   -13.23   -47.75     0.000
   19.82    -0.45   -22.44        19.82    -0.45   -22.44     0.000
   -0.07   -18.06    -6.17        -0.07   -18.06    -6.17     0.000
  -23.82   -20.97   -14.29       -23.82   -20.97   -14.29     0.000
   18.84     3.76    60.46        18.84     3.76    60.46     0.000
   11.99   -12.61     4.12        11.99   -12.61     4.12     0.000
  -27.29   -17.08   -12.80       -27.29   -17.08   -12.80     0.000
  -26.11   -31.01   -32.58       -26.11   -31.01   -32.58     0.000
   -0.12   -18.42   -37.51        -0.12   -18.42   -37.51     0.000
    0.36    19.45     2.50         0.36    19.45     2.50     0.000
  -21.51    16.11    25.82       -21.51    16.11    25.82     0.000
   -7.05    20.25    15.69        -7.05    20.25    15.69     0.000
